4.216260553465399630e-01,6.300420333301643971e-01,4.041365999118731178e-01,3.831786220328938786e-01,4.359470280041025103e-01,4.573910771709310263e-01,5.115282595611643224e-01,7.499999999998199773e-02,7.499999999998199773e-02,4.958189364923042963e-01,4.310976718596883916e-01,7.499999999998199773e-02,4.285459601827149023e-01,7.499999999998199773e-02,3.983486987430741033e-01,4.545507515124677100e-01,4.539517107317543876e-01,6.284954162011842094e-01,4.209702877228447826e-01
6.270599278471676863e-01,6.300420333301643971e-01,5.433034740858693201e-01,4.898805544630148723e-01,4.456776668005945075e-01,5.865258800189806498e-01,5.532678664669758994e-01,5.420530428021492764e-01,4.578757833915663156e-01,5.208126827608626774e-01,5.420159269308234551e-01,4.200761657746217015e-01,5.797798244501151110e-01,3.991564376898280031e-01,5.193176436166602183e-01,5.453765977014984889e-01,5.479552631321237266e-01,6.284954162011842094e-01,5.501923115195156422e-01
6.270599278471676863e-01,6.300420333301643971e-01,5.819807741146170166e-01,5.360505746141118744e-01,4.966473566620056013e-01,5.865258800189806498e-01,5.620675637268084390e-01,5.420530428021492764e-01,5.338640522678788081e-01,5.230247203579465598e-01,6.001206882534830811e-01,6.121656797633031610e-01,5.797798244501151110e-01,5.725440506072326796e-01,5.346398572318664666e-01,6.282941419429945995e-01,5.747125142705203915e-01,6.286336934101763863e-01,6.159575261883265540e-01
6.316559057108205311e-01,6.351154022189221537e-01,8.384212554994341371e-01,5.783159653091501928e-01,5.652205970425757675e-01,6.341412595104163330e-01,6.084812055283261856e-01,5.523236085341449719e-01,5.604450926825331747e-01,5.309212065107496992e-01,6.195407310910765464e-01,6.121656797633031610e-01,5.997075817268509024e-01,6.114436078501283012e-01,5.418104873513706066e-01,6.282941419429945995e-01,6.643755358933722821e-01,6.952826334567562272e-01,6.704896308910891500e-01
6.608128417663924337e-01,8.424522431639087650e-01,8.384212554994341371e-01,5.783159653091501928e-01,6.216282572797073858e-01,6.533072322709777557e-01,6.084812055283261856e-01,5.523236085341449719e-01,5.693122699100083839e-01,5.558399127257387384e-01,7.624409632983790708e-01,6.121656797633031610e-01,5.997075817268509024e-01,8.543413227243034092e-01,5.638267284636411247e-01,6.579284884084777296e-01,6.643755358933722821e-01,7.208379766924776222e-01,6.818816791021077295e-01
7.631832766277142355e-01,8.870009687773434681e-01,8.500449824499028972e-01,5.822025008036735283e-01,6.216282572797073858e-01,8.308105459647884272e-01,8.576977981107621885e-01,5.732917217068018712e-01,5.778135226175472594e-01,5.838190402520306854e-01,8.483026230169891102e-01,6.121656797633031610e-01,6.184365924087399380e-01,8.635878381452516406e-01,5.695022033371966996e-01,6.801499389751124447e-01,6.880952710711920606e-01,7.208379766924776222e-01,7.475501506918117434e-01
8.208464902451876322e-01,8.870009687773434681e-01,8.782541831911462316e-01,8.055130934280025912e-01,6.216282572797073858e-01,8.990444951245687433e-01,8.781866077594484565e-01,6.309215676806576578e-01,5.946080586225193088e-01,8.273476302885348632e-01,8.483026230169891102e-01,6.276337769204386463e-01,6.209346620701199360e-01,8.635878381452516406e-01,5.759969044453678855e-01,7.022970880786243431e-01,7.801133873494747739e-01,8.694738704463438328e-01,7.999805325502369335e-01
8.222567611657314313e-01,9.086080406049200642e-01,8.782541831911462316e-01,8.215577693918342250e-01,6.295080688752033860e-01,8.990444951245687433e-01,8.781866077594484565e-01,6.309215676806576578e-01,6.243461158395477995e-01,8.273476302885348632e-01,8.728315670037903873e-01,6.345720300516068946e-01,6.291482901744088752e-01,8.692325784806673727e-01,5.986315612364339067e-01,7.023547838316045455e-01,7.801133873494747739e-01,8.694738704463438328e-01,8.866692412712475768e-01
8.627400199912503842e-01,9.086080406049200642e-01,8.947145682216425255e-01,8.269737412335773641e-01,6.381426711788238393e-01,8.990444951245687433e-01,8.882399824664685140e-01,8.515295267241721477e-01,6.383861687654818207e-01,8.465965495245908468e-01,8.883531735274785568e-01,6.525898982735844900e-01,8.631202176290787564e-01,8.838817694504272904e-01,6.129395557787948867e-01,7.166365772325036243e-01,7.997259080250770369e-01,8.759357560268092868e-01,8.866692412712475768e-01
8.835875601864423556e-01,9.089782306568864323e-01,8.947145682216425255e-01,8.414987442180168475e-01,8.280715255051431800e-01,8.999958321688078522e-01,8.953825040880312169e-01,8.768816919363676687e-01,6.383861687654818207e-01,8.829491597258563029e-01,8.972816327642622047e-01,6.525898982735844900e-01,8.631202176290787564e-01,8.838817694504272904e-01,6.323755378293340890e-01,7.424781283371553187e-01,8.578671923915124342e-01,8.881888734544423070e-01,9.093558216877591915e-01
